case	comparison	snf_fda-cgc
ACH-000040	ACH-000117	0.980635034
ACH-000040	ACH-000121	0.980949694
ACH-000040	ACH-000129	0.981214275
ACH-000040	ACH-000132	0.981528096
ACH-000040	ACH-000138	0.980856136
ACH-000040	ACH-000139	0.980629021
ACH-000040	ACH-000142	0.980807927
ACH-000040	ACH-000144	0.979820704
ACH-000040	ACH-000145	0.980162319
ACH-000040	ACH-000147	0.980347899
ACH-000040	ACH-000148	0.98046181
ACH-000040	ACH-000149	0.980350897
ACH-000040	ACH-000159	0.980833836
ACH-000040	ACH-000161	0.980878402
ACH-000040	ACH-000171	0.980497267
ACH-000040	ACH-000174	0.98093725
ACH-000040	ACH-000176	0.981241913
ACH-000040	ACH-000181	0.980556447
ACH-000042	ACH-000001	0.979904395
ACH-000042	ACH-000007	0.98075889
ACH-000042	ACH-000008	0.981095948
ACH-000042	ACH-000009	0.980246228
ACH-000042	ACH-000012	0.980427869
ACH-000042	ACH-000015	0.980085666
ACH-000042	ACH-000023	0.980226663
ACH-000042	ACH-000030	0.980625985
ACH-000042	ACH-000035	0.980164005
ACH-000042	ACH-000040	0.98046675
ACH-000042	ACH-000042	0.426994691
ACH-000042	ACH-000047	0.980560856
ACH-000042	ACH-000052	0.979995021
ACH-000042	ACH-000055	0.980696525
ACH-000042	ACH-000062	0.98088962
ACH-000042	ACH-000067	0.981169247
ACH-000042	ACH-000078	0.980578611
ACH-000042	ACH-000082	0.980261735
ACH-000042	ACH-000087	0.981081737
ACH-000042	ACH-000092	0.980461838
ACH-000042	ACH-000094	0.981102727
ACH-000042	ACH-000098	0.981008197
ACH-000042	ACH-000099	0.980691603
ACH-000042	ACH-000100	0.981014114
ACH-000042	ACH-000102	0.981623425
ACH-000042	ACH-000103	0.981169858
ACH-000042	ACH-000107	0.980923001
ACH-000042	ACH-000109	0.98072885
ACH-000042	ACH-000111	0.980671494
ACH-000042	ACH-000114	0.981320443
ACH-000042	ACH-000115	0.980460675
ACH-000042	ACH-000117	0.980878328
ACH-000042	ACH-000121	0.980369552
ACH-000042	ACH-000129	0.981334814
ACH-000042	ACH-000132	0.981010261
ACH-000042	ACH-000138	0.980470285
ACH-000042	ACH-000139	0.980615531
ACH-000042	ACH-000142	0.98134329
ACH-000042	ACH-000144	0.98007561
ACH-000042	ACH-000145	0.980879665
ACH-000042	ACH-000147	0.980322013
ACH-000042	ACH-000148	0.980423894
ACH-000042	ACH-000149	0.980673563
ACH-000042	ACH-000159	0.981554878
ACH-000042	ACH-000161	0.97807021
ACH-000042	ACH-000171	0.979749598
ACH-000042	ACH-000174	0.98046704
ACH-000042	ACH-000176	0.981223214
ACH-000042	ACH-000181	0.980354289
ACH-000047	ACH-000001	0.980531814
ACH-000047	ACH-000007	0.980303851
ACH-000047	ACH-000008	0.980442976
ACH-000047	ACH-000009	0.980951075
ACH-000047	ACH-000012	0.980205783
ACH-000047	ACH-000015	0.980527346
ACH-000047	ACH-000023	0.978731187
ACH-000047	ACH-000030	0.9810214
ACH-000047	ACH-000035	0.980450079
ACH-000047	ACH-000040	0.980240504
ACH-000047	ACH-000042	0.980560856
ACH-000047	ACH-000047	0.427152417
ACH-000047	ACH-000052	0.980981449
ACH-000047	ACH-000055	0.981165169
ACH-000047	ACH-000062	0.979625587
ACH-000047	ACH-000067	0.980685135
ACH-000047	ACH-000078	0.979568227
ACH-000047	ACH-000082	0.979737912
ACH-000047	ACH-000087	0.980902032
ACH-000047	ACH-000092	0.980585123
ACH-000047	ACH-000094	0.981551877
ACH-000047	ACH-000098	0.980677912
ACH-000047	ACH-000099	0.981054229
ACH-000047	ACH-000100	0.9809415
ACH-000047	ACH-000102	0.981147958
ACH-000047	ACH-000103	0.981235524
ACH-000047	ACH-000107	0.981454862
ACH-000047	ACH-000109	0.981156158
ACH-000047	ACH-000111	0.980080196
ACH-000047	ACH-000114	0.981184824
ACH-000047	ACH-000115	0.980456186
ACH-000047	ACH-000117	0.980769163
ACH-000047	ACH-000121	0.980905833
ACH-000047	ACH-000129	0.980970325
ACH-000047	ACH-000132	0.981181961
ACH-000047	ACH-000138	0.980042149
ACH-000047	ACH-000139	0.98108789
ACH-000047	ACH-000142	0.981004411
ACH-000047	ACH-000144	0.980417204
ACH-000047	ACH-000145	0.980922898
ACH-000047	ACH-000147	0.980443551
ACH-000047	ACH-000148	0.980561793
ACH-000047	ACH-000149	0.980358143
ACH-000047	ACH-000159	0.98134174
ACH-000047	ACH-000161	0.980801701
ACH-000047	ACH-000171	0.981049804
ACH-000047	ACH-000174	0.98112294
ACH-000047	ACH-000176	0.98107388
ACH-000047	ACH-000181	0.980231904
ACH-000052	ACH-000001	0.97983639
ACH-000052	ACH-000007	0.9805485
ACH-000052	ACH-000008	0.978864383
ACH-000052	ACH-000009	0.981042695
ACH-000052	ACH-000012	0.980435073
ACH-000052	ACH-000015	0.981134339
ACH-000052	ACH-000023	0.980713251
ACH-000052	ACH-000030	0.980605821
ACH-000052	ACH-000035	0.980847404
ACH-000052	ACH-000040	0.980381141
ACH-000052	ACH-000042	0.979995021
ACH-000052	ACH-000047	0.980981449
ACH-000052	ACH-000052	0.426446097
ACH-000052	ACH-000055	0.98055305
ACH-000052	ACH-000062	0.980683123
ACH-000052	ACH-000067	0.980863556
ACH-000052	ACH-000078	0.980728996
ACH-000052	ACH-000082	0.980232482
ACH-000052	ACH-000087	0.979560786
ACH-000052	ACH-000092	0.980637821
ACH-000052	ACH-000094	0.981553664
ACH-000052	ACH-000098	0.981223365
ACH-000052	ACH-000099	0.981009331
ACH-000052	ACH-000100	0.981272656
ACH-000052	ACH-000102	0.981403639
ACH-000052	ACH-000103	0.980858747
ACH-000052	ACH-000107	0.98150348
ACH-000052	ACH-000109	0.980572921
ACH-000052	ACH-000111	0.981176045
ACH-000052	ACH-000114	0.981245672
ACH-000052	ACH-000115	0.980333733
ACH-000052	ACH-000117	0.980662636
ACH-000052	ACH-000121	0.98032924
ACH-000052	ACH-000129	0.981279875
ACH-000052	ACH-000132	0.981487374
ACH-000052	ACH-000138	0.980812203
ACH-000052	ACH-000139	0.980577746
ACH-000052	ACH-000142	0.981216408
ACH-000052	ACH-000144	0.980273078
ACH-000052	ACH-000145	0.980459215
ACH-000052	ACH-000147	0.980648001
ACH-000052	ACH-000148	0.981146058
ACH-000052	ACH-000149	0.980804938
ACH-000052	ACH-000159	0.981405264
ACH-000052	ACH-000161	0.980749313
ACH-000052	ACH-000171	0.978755676
ACH-000052	ACH-000174	0.980859165
ACH-000052	ACH-000176	0.980867947
ACH-000052	ACH-000181	0.981215126
ACH-000055	ACH-000001	0.980525128
ACH-000055	ACH-000007	0.980169286
ACH-000055	ACH-000008	0.97989094
ACH-000055	ACH-000009	0.98138056
ACH-000055	ACH-000012	0.980698065
ACH-000055	ACH-000015	0.980819825
ACH-000055	ACH-000023	0.980950236
ACH-000055	ACH-000030	0.979829874
ACH-000055	ACH-000035	0.980575713
ACH-000055	ACH-000040	0.980635029
ACH-000055	ACH-000042	0.980696525
ACH-000055	ACH-000047	0.981165169
ACH-000055	ACH-000052	0.98055305
ACH-000055	ACH-000055	0.428169416
ACH-000055	ACH-000062	0.980171558
ACH-000055	ACH-000067	0.980302557
ACH-000055	ACH-000078	0.981129426
ACH-000055	ACH-000082	0.980716926
ACH-000055	ACH-000087	0.981474845
ACH-000055	ACH-000092	0.981140778
ACH-000055	ACH-000094	0.980422377
ACH-000055	ACH-000098	0.981289474
ACH-000055	ACH-000099	0.980323399
ACH-000055	ACH-000100	0.981240649
ACH-000055	ACH-000102	0.980784127
ACH-000055	ACH-000103	0.980490979
ACH-000055	ACH-000107	0.980433246
ACH-000055	ACH-000109	0.979325985
ACH-000055	ACH-000111	0.981603584
ACH-000055	ACH-000114	0.980540476
ACH-000055	ACH-000115	0.980846924
ACH-000055	ACH-000117	0.979814331
ACH-000055	ACH-000121	0.980991346
ACH-000055	ACH-000129	0.980137706
ACH-000055	ACH-000132	0.980677144
ACH-000055	ACH-000138	0.980119839
ACH-000055	ACH-000139	0.979894545
ACH-000055	ACH-000142	0.980646392
